timestamp_us,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,accel_real_x,accel_real_y,accel_real_z,accel_world_x,accel_world_y,accel_world_z,gravity_x,gravity_y,gravity_z,yaw,pitch,roll
294300,0.99993896484375,0.00360107421875,-0.0001220703125,0.00018310546875,21,19,1441,-3,-2,1,18,-39,-6749,19,9,-6748,0.00024544447660446167,0.0072016641497612,0.9998649954795837,-0.0003671478189062327,0.00024547125212848186,0.007202512118965387
304244,0.99993896484375,0.00335693359375,-0.00030517578125,0.0003662109375,24,22,1615,-3,-2,1,18,-32,-6575,22,12,-6574,0.0006127730011940002,0.0067132338881492615,0.9998666644096375,-0.0007345887715928257,0.0006128408713266253,0.006714027840644121
314465,0.99993896484375,0.0030517578125,-0.00054931640625,0.00048828125,24,23,1743,-3,-2,1,14,-26,-6447,21,13,-6446,0.0011015459895133972,0.006102606654167175,0.9998685717582703,-0.0009800763800740242,0.001101669855415821,0.006103333085775375
324461,0.99993896484375,0.0028076171875,-0.000732421875,0.00067138671875,25,24,1839,-3,-2,1,12,-21,-6351,21,14,-6350,0.0014685243368148804,0.0056139081716537476,0.9998700022697449,-0.0013471110723912716,0.0014686911599710584,0.005614578723907471
334445,0.99993896484375,0.0025634765625,-0.0009765625,0.0008544921875,26,26,1909,-3,-2,1,9,-15,-6281,21,17,-6280,0.0019573867321014404,0.005124971270561218,0.9998711347579956,-0.0017142812721431255,0.0019576107151806355,0.005125586874783039
344420,0.99993896484375,0.0023193359375,-0.00115966796875,0.00103759765625,29,27,1962,-3,-2,1,9,-10,-6228,23,18,-6227,0.0023240074515342712,0.0046359822154045105,0.9998722672462463,-0.0020809306297451258,0.002324275206774473,0.004636541474610567
354415,0.99993896484375,0.0020751953125,-0.0013427734375,0.00115966796875,30,29,2000,-3,-2,1,7,-4,-6190,23,21,-6189,0.0026901960372924805,0.00414702296257019,0.9998732209205627,-0.0023253110703080893,0.0026905075646936893,0.004147524945437908
364409,0.99993896484375,0.0018310546875,-0.0015869140625,0.0013427734375,29,29,2024,-3,-2,1,2,0,-6166,21,22,-6165,0.0031785517930984497,0.003657624125480652,0.9998738765716553,-0.002691827015951276,0.003178920829668641,0.003658069297671318
374403,0.99993896484375,0.0015869140625,-0.00177001953125,0.00152587890625,27,31,2046,-3,-2,1,-2,5,-6144,19,24,-6143,0.0035446658730506897,0.00316823273897171,0.9998745918273926,-0.0030579110607504845,0.0035450777504593134,0.0031686194706708193
384403,0.99993896484375,0.0013427734375,-0.001953125,0.001708984375,28,31,2065,-3,-2,1,-4,9,-6125,19,25,-6124,0.0039106011390686035,0.002678707242012024,0.9998752474784851,-0.0034238158259540796,0.0039110551588237286,0.002679034834727645
394404,0.99993896484375,0.00103759765625,-0.002197265625,0.00189208984375,29,30,2075,-3,-2,1,-7,13,-6115,19,25,-6114,0.00439818948507309,0.0020667538046836853,0.9998756051063538,-0.0037894074339419603,0.004398698918521404,0.0020670078229159117
403985,0.99993896484375,0.00079345703125,-0.00238037109375,0.0020751953125,29,29,2083,-3,-2,1,-10,16,-6107,18,25,-6106,0.00476374477148056,0.001576937735080719,0.9998759031295776,-0.004154900088906288,0.0047642942517995834,0.00157713214866817
414007,0.99993896484375,0.00054931640625,-0.0025634765625,0.002197265625,30,30,2088,-3,-2,1,-12,21,-6102,19,27,-6101,0.0051290541887283325,0.0010873004794120789,0.9998759031295776,-0.00439812196418643,0.005129642318934202,0.001087434939108789
424027,0.99993896484375,0.00030517578125,-0.0028076171875,0.00238037109375,30,29,2091,-3,-2,1,-16,24,-6099,18,27,-6098,0.005616344511508942,0.000596947968006134,0.9998756051063538,-0.0047632912173867226,0.0056169829331338406,0.0005970221827737987
434046,0.99993896484375,6.103515625e-05,-0.00299072265625,0.0025634765625,28,28,2093,-3,-2,1,-20,27,-6097,16,27,-6096,0.0059813931584358215,0.00010672956705093384,0.999875545501709,-0.00512821227312088,0.0059820665046572685,0.00010674285294953734
444064,0.99993896484375,-0.00018310546875,-0.003173828125,0.00274658203125,29,28,2097,-3,-2,1,-22,31,-6093,16,28,-6092,0.006346262991428375,-0.000383622944355011,0.9998753666877747,-0.005492951720952988,0.0063469684682786465,-0.00038367073284462094
