timestamp_us,quat_w,quat_x,quat_y,quat_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,accel_real_x,accel_real_y,accel_real_z,accel_world_x,accel_world_y,accel_world_z,gravity_x,gravity_y,gravity_z,yaw,pitch,roll
294318,0.99993896484375,0.00360107421875,-0.0001220703125,0.0001220703125,21,21,1450,-3,-2,1,18,-37,-6740,19,11,-6739,0.00024500489234924316,0.007201679050922394,0.999864935874939,-0.0002450583560857922,0.0002450316387694329,0.0072025274857878685
304240,0.99993896484375,0.0032958984375,-0.0003662109375,0.00030517578125,22,23,1626,-3,-2,1,15,-30,-6564,19,13,-6563,0.0007343888282775879,0.006591171026229858,0.9998670816421509,-0.0006128645618446171,0.0007344703772105277,0.0065919519402086735
314268,0.99993896484375,0.0030517578125,-0.00054931640625,0.00048828125,24,26,1755,-3,-2,1,14,-23,-6435,21,16,-6434,0.0011015459895133972,0.006102606654167175,0.9998685717582703,-0.0009800763800740242,0.001101669855415821,0.006103333085775375
324489,0.99993896484375,0.0028076171875,-0.000732421875,0.00067138671875,27,29,1850,-3,-2,1,14,-16,-6340,23,19,-6339,0.0014685243368148804,0.0056139081716537476,0.9998700022697449,-0.0013471110723912716,0.0014686911599710584,0.005614578723907471
334489,0.99993896484375,0.00250244140625,-0.0009765625,0.0008544921875,28,30,1917,-3,-2,1,11,-10,-6273,23,21,-6272,0.0019572824239730835,0.005002908408641815,0.9998714327812195,-0.0017141631105914712,0.0019575071055442095,0.0050035095773637295
344488,0.99993896484375,0.00225830078125,-0.001220703125,0.00103759765625,30,29,1968,-3,-2,1,9,-7,-6222,24,21,-6221,0.0024459436535835266,0.00451379269361496,0.9998723864555359,-0.0020810659043490887,0.0024462260771542788,0.004514337982982397
354489,0.99993896484375,0.001953125,-0.00140380859375,0.001220703125,30,29,2005,-3,-2,1,6,-2,-6185,23,22,-6184,0.002812214195728302,0.0039025843143463135,0.9998736381530762,-0.0024473147932440042,0.0028125406242907047,0.003903057659044862
364071,0.99993896484375,0.001708984375,-0.00164794921875,0.00140380859375,30,28,2032,-3,-2,1,2,0,-6158,22,21,-6157,0.003300495445728302,0.0034131333231925964,0.9998742341995239,-0.0028137415647506714,0.003300879616290331,0.003413549391552806
374090,0.99993896484375,0.00146484375,-0.0018310546875,0.00152587890625,29,29,2053,-3,-2,1,-1,5,-6137,21,23,-6136,0.0036663562059402466,0.002923920750617981,0.9998747706413269,-0.003057659836485982,0.0036667834501713514,0.002924278611317277
384115,0.99993896484375,0.00115966796875,-0.0020751953125,0.001708984375,31,31,2067,-3,-2,1,-3,12,-6123,22,26,-6122,0.004154101014137268,0.002312101423740387,0.9998751878738403,-0.0034233862534165382,0.004154584836214781,0.002312385942786932
394126,0.99993896484375,0.00091552734375,-0.00225830078125,0.00189208984375,31,31,2078,-3,-2,1,-6,16,-6112,21,27,-6111,0.004519790410995483,0.0018223971128463745,0.999875545501709,-0.0037889843806624413,0.004520314745604992,0.0018226219108328223
404152,0.99993896484375,0.00067138671875,-0.00244140625,0.0020751953125,30,32,2086,-3,-2,1,-10,21,-6104,19,29,-6103,0.0048853009939193726,0.0013325586915016174,0.9998757839202881,-0.004154402296990156,0.004885864909738302,0.0013327234191820025
414373,0.99993896484375,0.0003662109375,-0.002685546875,0.00225830078125,30,31,2093,-3,-2,1,-14,25,-6097,18,29,-6096,0.0053724199533462524,0.0007202476263046265,0.9998757243156433,-0.004519364330917597,0.005373034626245499,0.0007203370332717896
424373,0.99993896484375,0.0001220703125,-0.00286865234375,0.00244140625,30,28,2099,-3,-2,1,-17,26,-6091,17,27,-6090,0.0057375505566596985,0.00023011863231658936,0.9998756647109985,-0.0048843687400221825,0.005738201085478067,0.00023014724138192832
434373,0.99993896484375,-0.00018310546875,-0.00311279296875,0.00262451171875,30,31,2102,-3,-2,1,-20,34,-6088,17,31,-6087,0.006224244832992554,-0.0003825277090072632,0.9998750686645508,-0.0052487957291305065,0.006224941462278366,-0.0003825754683930427
444350,0.99993896484375,-0.00042724609375,-0.0032958984375,0.0028076171875,29,32,2103,-3,-2,1,-24,39,-6087,15,33,-6086,0.006588995456695557,-0.0008729472756385803,0.9998747706413269,-0.005613384768366814,0.006589722819626331,-0.0008730563567951322
454331,0.99993896484375,-0.00067138671875,-0.0035400390625,0.0029296875,29,30,2106,-3,-2,1,-28,41,-6084,14,32,-6083,0.007075712084770203,-0.0013634338974952698,0.9998735189437866,-0.005855620838701725,0.007076482754200697,-0.0013636056100949645
464330,0.99993896484375,-0.0009765625,-0.00372314453125,0.00311279296875,28,31,2109,-3,-2,1,-32,47,-6081,13,35,-6080,0.007439754903316498,-0.0019761845469474792,0.9998728036880493,-0.006219360511749983,0.007440549321472645,-0.0019764334429055452
473917,0.99993896484375,-0.001220703125,-0.00390625,0.0032958984375,27,31,2109,-3,-2,1,-36,51,-6081,11,36,-6080,0.007803976535797119,-0.0024670064449310303,0.9998720288276672,-0.006583350244909525,0.007804793305695057,-0.0024673170410096645
483941,0.99993896484375,-0.00146484375,-0.004150390625,0.00347900390625,29,31,2110,-3,-2,1,-38,55,-6080,12,37,-6079,0.008290082216262817,-0.0029583871364593506,0.9998706579208374,-0.006946978159248829,0.008290928788483143,-0.0029587612953037024
493968,0.99993896484375,-0.00177001953125,-0.00433349609375,0.003662109375,30,31,2109,-3,-2,1,-40,60,-6081,12,38,-6080,0.008653499186038971,-0.0035715624690055847,0.9998694062232971,-0.007310038898140192,0.008654357865452766,-0.0035720139276236296
